Date,Open,High,Low,Close,Adj Close,Volume
2011-01-07,4.661111111111111,4.920833333333333,4.575833333333333,4.873611111111111,4.470783444444445,257998400
2011-01-10,4.868611111111111,5.1433333333333335,4.78,5.089444444444444,4.668777333333334,175034800
2011-01-11,5.074722222222222,5.351944444444445,4.975833333333334,5.291388888888889,4.854030222222222,271108800
2011-01-12,5.268888888888889,5.535277777777778,5.155277777777778,5.442222222222223,4.992396555555556,343189600
2011-01-13,5.4013888888888895,5.624722222222222,5.2780555555555555,5.528333333333332,5.071390222222223,269519200
2011-01-14,5.500277777777778,5.709722222222222,5.375277777777778,5.593611111111111,5.131272555555555,159535200
2011-01-18,5.603888888888889,5.831388888888888,5.475833333333333,5.7075,5.235748111111111,181334800
2011-01-19,5.706944444444445,5.936111111111111,5.585277777777778,5.809166666666666,5.329011555555556,119789600
2011-01-20,5.815277777777777,5.981388888888889,5.690833333333334,5.842222222222222,5.359335111111111,111140800
2011-01-21,5.864999999999999,6.012222222222222,5.735833333333334,5.872222222222223,5.3868556666666665,73924400
2011-01-24,5.907777777777778,6.038888888888889,5.745555555555555,5.876944444444444,5.391187444444444,205690000
2011-01-25,5.9225,6.0616666666666665,5.771666666666666,5.901388888888889,5.413611444444445,108685600
2011-01-26,5.9525,6.090833333333333,5.816388888888889,5.958611111111111,5.466104111111111,107466000
2011-01-27,6.0119444444444445,6.191111111111111,5.8869444444444445,6.046111111111111,5.546371777777778,65739600
2011-01-28,6.0938888888888885,6.264166666666666,5.952777777777778,6.126111111111111,5.619759444444444,109479600
2011-01-31,6.155277777777778,6.286944444444445,6.0186111111111105,6.152222222222222,5.643712222222223,75016000
2011-02-01,6.174722222222222,6.302222222222222,6.038055555555555,6.169722222222222,5.659765888888889,65410400
2011-02-02,6.186111111111111,6.296388888888888,6.03,6.151111111111111,5.6426929999999995,160661600
2011-02-03,6.160277777777778,6.275555555555555,5.998333333333333,6.118333333333333,5.612624333333333,103077600
2011-02-04,6.1113888888888885,6.2275,5.9816666666666665,6.092222222222222,5.5886714444444445,87290000
2011-02-07,6.081944444444444,6.226388888888889,5.952777777777778,6.079722222222222,5.577204444444444,93423600
2011-02-08,6.0713888888888885,6.222222222222222,5.926388888888889,6.041944444444444,5.542548777777778,107658400
2011-02-09,6.038611111111112,6.140555555555555,5.8741666666666665,5.957777777777778,5.465338777777777,127752000
2011-02-10,5.961666666666667,6.0875,5.824722222222222,5.91,5.421510111111111,104235200
2011-02-11,5.885833333333333,6.091388888888889,5.748611111111111,5.910277777777778,5.421764888888889,135927600
2011-02-14,5.891944444444444,6.105833333333333,5.768611111111111,5.938888888888889,5.448011,128782800
2011-02-15,5.89638888888889,6.107777777777778,5.751111111111111,5.920555555555556,5.431192888888889,88698000
2011-02-16,5.875555555555555,6.086388888888889,5.721111111111111,5.887777777777778,5.401124444444445,131836400
2011-02-17,5.860277777777778,6.081666666666667,5.706111111111111,5.883055555555555,5.396792444444445,347009600
2011-02-18,5.874722222222222,6.061944444444444,5.7219444444444445,5.873333333333333,5.387874,139441200
